,sentence,rhetoric
"She was his Mona Lisa, a masterpiece he would never stop admiring."" - This allusion to Leonardo da Vinci's famous painting suggests the woman is more than just beautiful, she is a work of art.",Allusion,Allusion
"His speech was filled with biblical allusions, turning the audience into disciples of his cause."" - By referencing the Bible, the speaker suggests their message is sacred and worth following.",Allusion,Allusion
"They fought like a modern-day David and Goliath, the small underdog taking on the powerful giant."" - This allusion to the biblical story highlights the strength and bravery of the smaller, weaker opponent.",Allusion,Allusion
"The company's downfall was a modern-day fall of Rome, with greed and corruption at its core."" - This allusion to the collapse of the Roman Empire suggests the company's demise was caused by similar issues.",Allusion,Allusion
"Her lies unraveled like a thread in the ancient Greek myth, revealing her true identity."" - This allusion to the myth of Theseus and the Minotaur suggests the gradual exposure of an untruth.",Allusion,Allusion
"He was a modern-day Romeo, willing to risk everything for his love."" - This allusion to Shakespeare's play evokes the image of a passionate and devoted romantic.",Allusion,Allusion
"Their partnership was like a modern-day Bonnie and Clyde, causing chaos wherever they went."" - This allusion to the infamous criminal duo suggests a similar reckless and dangerous relationship.",Allusion,Allusion
"During the debate, the politician used persuasive techniques reminiscent of a Shakespearean villain, manipulating the audience with his clever words."" - This allusion to a Shakespearean character implies the speaker's cunning and deceitful tactics.",Allusion,Allusion
"She was a true Pandora, opening the box and unleashing chaos upon herself and those around her."" - This allusion to the Greek myth implies the consequences of the woman's actions were disastrous.",Allusion,Allusion
"Her beauty was her Achilles' heel, ultimately leading to her downfall."" - This allusion to the Greek hero highlights the person's vulnerability and fatal flaw.",Allusion,Allusion
"She was a modern-day Juliet, willing to risk it all for her forbidden love.",Allusion,Allusion
"He was a real-life Hercules, taking on impossible tasks with ease.",Allusion,Allusion
"Her sense of style was reminiscent of Audrey Hepburn, timeless and elegant.",Allusion,Allusion
"He had a Midas touch with money, everything he invested in turned to gold.",Allusion,Allusion
"She was a modern-day Rapunzel, locked in her tower by her overprotective parents.",Allusion,Allusion
