,sentence,rhetoric
A true friend is one who overlooks your failures and tolerates your successes.,Epigram,Epigram
"Life is a tragedy for those who feel, and a comedy for those who think.",Epigram,Epigram
Love is like war: easy to begin but very hard to stop.,Epigram,Epigram
I can resist everything except temptation.,Epigram,Epigram
Success is the ability to go from one failure to another with no loss of enthusiasm.,Epigram,Epigram
Marriage is the triumph of imagination over intelligence. Second marriage is the triumph of hope over experience.,Epigram,Epigram
The only way to get rid of a temptation is to yield to it.,Epigram,Epigram
Happiness is the absence of the striving for happiness.,Epigram,Epigram
I refuse to join any club that would have me as a member.,Epigram,Epigram
I am so clever that sometimes I don't understand a single word of what I am saying.,Epigram,Epigram
Few things are harder to put up with than the annoyance of a good example.,Epigram,Epigram
"Poets are all who love, who feel great truths,",Epigram,Epigram
And tell them; and the truth of truths is love.,Epigram,Epigram
"To err is human, to forgive divine.",Epigram,Epigram
"Books are like mirrors: if a fool looks in, you cannot expect a genius to look out.",Epigram,Epigram
A true friend stabs you in the front.,Epigram,Epigram
"Love thy neighbor, but don't get caught.",Epigram,Epigram
The road to hell is paved with good intentions.,Epigram,Epigram
Experience is the name everyone gives to their mistakes.,Epigram,Epigram
Don't judge a book by its cover.,Epigram,Epigram
A little learning is a dangerous thing.,Epigram,Epigram
Fools rush in where angels fear to tread.,Epigram,Epigram
"Art is long, life is short.",Epigram,Epigram
The greatest things are achieved by the smallest means.,Epigram,Epigram
He who laughs last laughs best.,Epigram,Epigram
Fortune favors the brave.,Epigram,Epigram
A friend in need is a friend indeed.,Epigram,Epigram
"An apple a day keeps the doctor away, but if the doctor is cute forget the fruit.",Epigram,Epigram
Old age is a shipwreck.,Epigram,Epigram
In wine there is truth.,Epigram,Epigram
"Fool me once, shame on you. Fool me twice, shame on me.",Epigram,Epigram
Brevity is the soul of wit.,Epigram,Epigram
"Love many, trust few, always paddle your own canoe.",Epigram,Epigram
"Early to bed and early to rise, makes a man healthy, wealthy and wise.",Epigram,Epigram
"We make a living by what we get, but we make a life by what we give.",Epigram,Epigram
Youth is wasted on the young.,Epigram,Epigram
Truth is stranger than fiction.,Epigram,Epigram
Love is an irresistible desire to be irresistibly desired.,Epigram,Epigram
"Life is a journey, not a destination.",Epigram,Epigram
Experience is simply the name we give our mistakes.,Epigram,Epigram
