,sentence,rhetoric
The cunning fox stole the farmer's chickens.,Epithet,Epithet
The mighty lion roamed the savannah.,Epithet,Epithet
The beautiful sunset painted the sky with hues of orange and pink.,Epithet,Epithet
The infamous criminal has finally been captured.,Epithet,Epithet
The fearless warrior charged into battle.,Epithet,Epithet
The treacherous sea devoured the ship.,Epithet,Epithet
"The wise old owl perched on the branch, observing the forest below.",Epithet,Epithet
The deceitful politician promised to lower taxes.,Epithet,Epithet
The elusive truth evaded her grasp.,Epithet,Epithet
"The majestic castle stood tall on the hill, a testament to the kingdom's power and wealth.",Epithet,Epithet
"The young warrior, brave and bold, charged into battle.",Epithet,Epithet
"The city of lights, Paris, was bustling with tourists.",Epithet,Epithet
"The wise old owl perched on a branch, observing the world below.",Epithet,Epithet
The crimson sunset painted the sky with its fiery hues.,Epithet,Epithet
"The school bully, known for his cruel pranks, was finally suspended.",Epithet,Epithet
"The majestic lion, king of the savanna, roared fiercely at its prey.",Epithet,Epithet
The fragile butterfly fluttered from flower to flower.,Epithet,Epithet
"The notorious criminal, feared by all, was finally caught by the police.",Epithet,Epithet
The sparkling diamond was an exquisite addition to her jewelry collection.,Epithet,Epithet
"The wind howled through the barren desert, carrying sand in its wake.",Epithet,Epithet
The Great and Mighty Oz,Epithet,Epithet
The Shining Star of Hollywood,Epithet,Epithet
The Beautiful and Intelligent Queen,Epithet,Epithet
The Terrible and Terrifying Beast,Epithet,Epithet
The Bold and Fearless Warrior,Epithet,Epithet
The Golden-Haired Goddess,Epithet,Epithet
The Wise and Noble King,Epithet,Epithet
The Mysterious and Cunning Spy,Epithet,Epithet
The Beloved and Kind Grandmother,Epithet,Epithet
The Dark and Brooding Villain,Epithet,Epithet
The great conqueror Alexander the Great.,Epithet,Epithet
The notorious criminal John 'Fingers' Malone.,Epithet,Epithet
The majestic Mount Everest.,Epithet,Epithet
The never-ending battle between good and evil.,Epithet,Epithet
The fearless lioness who protects her cubs.,Epithet,Epithet
The dark and mysterious castle.,Epithet,Epithet
The beautiful and talented actress.,Epithet,Epithet
The powerful and wise leader.,Epithet,Epithet
"The charming city of love, Paris.",Epithet,Epithet
"The delicious, mouth-watering chocolate cake.",Epithet,Epithet
"The mighty Zeus, ruler of Mount Olympus, struck down his enemies with a bolt of lightning.",Epithet,Epithet
