,sentence,rhetoric
"She sang passionately, with her eyes closed and her hands raised in the air.",Cumulative_Sentence,Cumulative_Sentence
"They walked slowly, hand in hand, meandering down the cobblestone streets.",Cumulative_Sentence,Cumulative_Sentence
"He ran as fast as he could, his heart pounding in his chest and sweat dripping down his face.",Cumulative_Sentence,Cumulative_Sentence
"The students studied diligently, pouring over their textbooks and scribbling notes in their notebooks.",Cumulative_Sentence,Cumulative_Sentence
"She laughed joyfully, her eyes sparkling and her cheeks flushed with happiness.",Cumulative_Sentence,Cumulative_Sentence
"The sun was hot, the sand was burning, and the waves were crashing against the shore.",Cumulative_Sentence,Cumulative_Sentence
"They danced gracefully, twirling and spinning in perfect harmony.",Cumulative_Sentence,Cumulative_Sentence
"He smelled the roses, picked a few, and handed them to her with a smile.",Cumulative_Sentence,Cumulative_Sentence
"She tasted the soup, added a pinch of salt, and gave it a stir.",Cumulative_Sentence,Cumulative_Sentence
"The rain was pouring, thunder was rumbling, and lightning was flashing in the distance.",Cumulative_Sentence,Cumulative_Sentence
"The rain poured down in heavy sheets, drenching the streets, flooding the gutters, and soaking every living thing in its path.",Cumulative_Sentence,Cumulative_Sentence
"The old house stood tall and imposing, its weathered walls covered in ivy, its windows cracked and broken, and its roof sagging under the weight of time.",Cumulative_Sentence,Cumulative_Sentence
"The child ran through the park, chasing after the elusive butterfly, giggling and flailing her arms in joyful abandon, her golden hair flying behind her.",Cumulative_Sentence,Cumulative_Sentence
"His voice, deep and resonant, echoed through the auditorium, captivating the audience, commanding their attention, and leaving them spellbound.",Cumulative_Sentence,Cumulative_Sentence
"The dog barked ferociously, clawing at the door, growling and snarling in a frenzied frenzy, determined to protect his home at all costs.",Cumulative_Sentence,Cumulative_Sentence
"The sun set slowly, casting shadows across the ocean, painting the sky in hues of pink and orange, and setting the horizon ablaze with its fiery glow.",Cumulative_Sentence,Cumulative_Sentence
"She danced gracefully, twirling and leaping across the stage, her movements fluid and effortless, her expression radiant and full of passion.",Cumulative_Sentence,Cumulative_Sentence
"The city was alive with energy, teeming with people, bustling markets, and honking cars, the cacophony of sounds melding into a chaotic symphony.",Cumulative_Sentence,Cumulative_Sentence
"The mountains rose majestically, their snow-capped peaks towering above the clouds, their slopes covered in dense forests, and their valleys dotted with picturesque towns.",Cumulative_Sentence,Cumulative_Sentence
