,sentence,rhetoric
"All mammals have hair. Dogs are mammals. Therefore, dogs have hair.",Deduction,Deduction
"If all birds have wings, and a swan is a bird, then a swan must have wings.",Deduction,Deduction
"Any creature that can fly without wings must have the power of magic. This bird has no wings, so it must have magical abilities.",Deduction,Deduction
"If John is always late to work, then he should have gotten a tardiness warning. John has not received a warning, therefore he must not always be late to work.",Deduction,Deduction
A flower's beauty and fragrance are often indicative of its pollination method. The strong scent and bright colors of this flower suggest it is being pollinated by insects.,Deduction,Deduction
"A person who consistently exercises and eats a balanced diet is likely to have a longer lifespan. Lisa exercises daily and follows a healthy meal plan, so she will probably live a long life.",Deduction,Deduction
"Since all cars require fuel and this vehicle uses electricity, it must be an electric car.",Deduction,Deduction
"Students who do well on the practice tests usually score high on the final exam. Mark performed well on the practice tests, so he will likely excel on the final exam.",Deduction,Deduction
"If all politicians are well-educated, then Mary, a politician, must also be well-educated.",Deduction,Deduction
"Any story with a thrilling plot and unexpected twists is likely to keep readers on their toes. This book has a gripping plot and numerous surprises, so it will surely captivate its readers.",Deduction,Deduction
"John is always late for class. Today, John is late. Therefore, John must always be late.",Deduction,Deduction
"All birds have feathers. An eagle is a bird. Therefore, an eagle must have feathers.",Deduction,Deduction
"Every time I eat dairy, I get stomach cramps. I ate a lot of dairy yesterday and today I have stomach cramps. Therefore, I know that eating dairy causes me to have stomach cramps.",Deduction,Deduction
"The sun rises every morning. Today, the sun has risen. Therefore, it is morning.",Deduction,Deduction
"All mammals have fur. A dog is a mammal. Therefore, a dog must have fur.",Deduction,Deduction
"Every time I study, I get good grades. I studied a lot this week and got good grades. Therefore, studying consistently leads to good grades.",Deduction,Deduction
"Water boils at 100 degrees Celsius. This pot of water is boiling at 100 degrees Celsius. Therefore, it must be water.",Deduction,Deduction
"All triangles have three sides. This shape has three sides. Therefore, it must be a triangle.",Deduction,Deduction
"Every time I practice playing the guitar, I improve. I practiced for hours today and I can notice an improvement. Therefore, practicing guitar consistently leads to improvement.",Deduction,Deduction
"The sky is blue on sunny days. Today is a sunny day and the sky is blue. Therefore, the sky must be blue today.",Deduction,Deduction
"All mammals have fur. A sloth is a mammal. Therefore, a sloth has fur.",Deduction,Deduction
"If someone is allergic to cats, they will experience sneezing and itching after being near a cat. Tina is sneezing and itching after petting her neighbor's cat. Therefore, Tina is likely allergic to cats.",Deduction,Deduction
"Every time I drink milk, my stomach hurts. I just drank a glass of milk. Therefore, my stomach is hurting right now.",Deduction,Deduction
"Crime rates tend to increase in urban areas. The city of Chicago is an urban area. Therefore, it is likely that Chicago has a high crime rate.",Deduction,Deduction
"In the movie, the villain always wears a black cape. The character Mr. Smith is wearing a black cape. Therefore, Mr. Smith is the villain.",Deduction,Deduction
