,sentence,rhetoric
I've told you a million times to clean your room!,Hyperbole,Hyperbole
I'm so hungry I could eat an elephant.,Hyperbole,Hyperbole
The kids were running around like chickens with their heads cut off.,Hyperbole,Hyperbole
I laughed so hard I thought I would die.,Hyperbole,Hyperbole
She's as old as the hills.,Hyperbole,Hyperbole
I have a million things to do today.,Hyperbole,Hyperbole
His house is the size of a castle.,Hyperbole,Hyperbole
I'm so tired I could sleep for a year.,Hyperbole,Hyperbole
The line for the new iPhone was a mile long.,Hyperbole,Hyperbole
My backpack weighs a ton.,Hyperbole,Hyperbole
My backpack weighs a ton!,Hyperbole,Hyperbole
"I'm so hungry, I could eat a horse.",Hyperbole,Hyperbole
I waited in line forever for those concert tickets.,Hyperbole,Hyperbole
She has a million things to do before the party tonight.,Hyperbole,Hyperbole
I've told you a thousand times to clean your room.,Hyperbole,Hyperbole
This project is going to take forever to finish.,Hyperbole,Hyperbole
The line for the new iPhone stretched to infinity.,Hyperbole,Hyperbole
I feel like I've been standing here for hours!,Hyperbole,Hyperbole
I have a mountain of homework to do tonight.,Hyperbole,Hyperbole
I must have asked you a million times to clean your room!,Hyperbole,Hyperbole
Her scream was loud enough to wake the dead.,Hyperbole,Hyperbole
I've been waiting for ages for this moment.,Hyperbole,Hyperbole
I could eat a horse right now.,Hyperbole,Hyperbole
I've told you a billion times not to interrupt me.,Hyperbole,Hyperbole
The bag weighed a ton.,Hyperbole,Hyperbole
The crowd was a million strong.,Hyperbole,Hyperbole
I feel like I'm drowning in all this paperwork.,Hyperbole,Hyperbole
"If I don't get this job, I'll die of embarrassment.",Hyperbole,Hyperbole
I've been waiting here for eternity.,Hyperbole,Hyperbole
"I am so hungry, I could eat a horse.",Hyperbole,Hyperbole
She is as old as the hills.,Hyperbole,Hyperbole
I have a ton of homework to do.,Hyperbole,Hyperbole
I have been waiting for ages!,Hyperbole,Hyperbole
I could sleep for a week after that workout.,Hyperbole,Hyperbole
"I'm so embarrassed, I could bury myself six feet underground.",Hyperbole,Hyperbole
The line at the store was a mile long.,Hyperbole,Hyperbole
"The concert was so loud, I thought my eardrums would burst.",Hyperbole,Hyperbole
My backpack weighed a ton as I trudged to school under the scorching sun.,Hyperbole,Hyperbole
"I've told you a million times to clean your room, but it looks like a tornado hit it!",Hyperbole,Hyperbole
The line at the amusement park was a mile long and took ages to get through.,Hyperbole,Hyperbole
She was so hungry she could eat a horse.,Hyperbole,Hyperbole
"The heat was so intense, I thought my skin was going to melt off.",Hyperbole,Hyperbole
My boss is the meanest person on earth.,Hyperbole,Hyperbole
"The concert was so loud, I thought my eardrums were going to burst.",Hyperbole,Hyperbole
"I laughed so hard, I thought I was going to die.",Hyperbole,Hyperbole
The waterfall was as tall as a skyscraper.,Hyperbole,Hyperbole
The pile of laundry was taller than Mount Everest.,Hyperbole,Hyperbole
The line at the amusement park was a mile long.,Hyperbole,Hyperbole
I told you a million times to clean your room.,Hyperbole,Hyperbole
That child is taller than a skyscraper.,Hyperbole,Hyperbole
"She's so hungry, she could eat a horse.",Hyperbole,Hyperbole
The wait for my food at this restaurant is taking forever.,Hyperbole,Hyperbole
This suitcase weighs a ton!,Hyperbole,Hyperbole
I'm drowning in all of this paperwork.,Hyperbole,Hyperbole
"He snored so loudly, the walls shook.",Hyperbole,Hyperbole
Her smile could light up a dark room.,Hyperbole,Hyperbole
"I'm so tired, I could sleep for a year.",Hyperbole,Hyperbole
"She's so old, she must have been around when dinosaurs roamed the Earth.",Hyperbole,Hyperbole
This is the best day of my entire life!,Hyperbole,Hyperbole
I've been waiting in line for hours!,Hyperbole,Hyperbole
"The teacher's voice was so loud, it could break glass.",Hyperbole,Hyperbole
I've been stuck in traffic for ages.,Hyperbole,Hyperbole
"I've been waiting here for ages!"" (exaggerating the length of time)",Hyperbole,Hyperbole
"I have a million things to do today."" (exaggerating the number of tasks)",Hyperbole,Hyperbole
"That suitcase weighs a ton!"" (exaggerating the weight)",Hyperbole,Hyperbole
