,sentence,rhetoric
"Life is a journey, enjoy the ride.",Metaphor,Metaphor
Her smile was a bright ray of sunshine on a cloudy day.,Metaphor,Metaphor
His words were music to my ears.,Metaphor,Metaphor
"The world is a stage, and we are merely players.",Metaphor,Metaphor
"The night was a black velvet sky, sprinkled with stars.",Metaphor,Metaphor
"The love between them was a wildfire, burning bright and fierce.",Metaphor,Metaphor
"Her laughter was a symphony, filling the room with joy.",Metaphor,Metaphor
"He was a rock, steady and unyielding in the face of adversity.",Metaphor,Metaphor
"The town was a ghost town, devoid of any signs of life.",Metaphor,Metaphor
"Time is a thief, stealing moments from us as we try to hold on.",Metaphor,Metaphor
The sidewalk baked under the scorching sun.,Metaphor,Metaphor
Her voice was music to his ears.,Metaphor,Metaphor
"His anger was a simmering volcano, ready to erupt.",Metaphor,Metaphor
The moon was a silver coin in the sky.,Metaphor,Metaphor
"Love is a rose, delicate and thorny.",Metaphor,Metaphor
"My heart is a puzzle missing a piece,",Metaphor,Metaphor
"The world is a stage, and we are all actors.",Metaphor,Metaphor
Her smile was a ray of sunshine on a cloudy day.,Metaphor,Metaphor
"His temper was a thunderstorm, fierce and unpredictable.",Metaphor,Metaphor
"Life is a rollercoaster, full of ups and downs.",Metaphor,Metaphor
,Metaphor,Metaphor
"His heart was a fragile piece of glass, shattering at the slightest touch.",Metaphor,Metaphor
"She was a diamond in the rough, her beauty hidden beneath layers of insecurity.",Metaphor,Metaphor
The raging river of emotions within him threatened to consume him.,Metaphor,Metaphor
"The tree's branches reached towards the sky like outstretched arms, begging for the sunlight's touch.",Metaphor,Metaphor
The stormy relationship between the two nations was a volatile time bomb waiting to explode.,Metaphor,Metaphor
"His words were a double-edged sword, cutting deep and leaving scars.",Metaphor,Metaphor
"She was a bird trapped in a cage, longing for the freedom of the open sky.",Metaphor,Metaphor
"The city was a concrete jungle, where dreams went to die.",Metaphor,Metaphor
"The dark clouds of uncertainty loomed over their heads, casting a shadow on their future.",Metaphor,Metaphor
"Love is a journey with its own twists and turns, leading to unexpected destinations.",Metaphor,Metaphor
"His words were a sharp sword, cutting through the silence.",Metaphor,Metaphor
"Her smile was a ray of sunshine, brightening up the room.",Metaphor,Metaphor
"Life is a journey, with winding roads and unexpected detours.",Metaphor,Metaphor
"Love is a rose, with thorns that can prick but also a beautiful fragrance.",Metaphor,Metaphor
"The chaotic classroom was a zoo, with students running wild and books flying through the air.",Metaphor,Metaphor
"The moon hung in the sky like a pale, ghostly lantern.",Metaphor,Metaphor
"Time is a thief, stealing moments and memories without warning.",Metaphor,Metaphor
"Anger is a boiling pot, bubbling and simmering until it boils over.",Metaphor,Metaphor
"She was a butterfly, gracefully floating from person to person, captivating everyone she met.",Metaphor,Metaphor
"Music is a language that speaks to the heart and soul, conveying emotions that words cannot.",Metaphor,Metaphor
"The world is a stage, and we are all merely players.",Metaphor,Metaphor
"Her heart was a fragile glass, shattered by betrayal.",Metaphor,Metaphor
"The sun was a blazing inferno, casting its bright rays across the sky.",Metaphor,Metaphor
"The politician's promises were empty balloons, full of hot air.",Metaphor,Metaphor
"His rage was a storm, brewing inside and ready to unleash its fury.",Metaphor,Metaphor
"The quiet city streets were a graveyard, devoid of any signs of life.",Metaphor,Metaphor
"The wind was a howling wolf, prowling the night with its mournful wails.",Metaphor,Metaphor
"Her eyes were pools of dark chocolate, inviting and irresistible.",Metaphor,Metaphor
"The company was a sinking ship, taking on water faster than it could pump it out.",Metaphor,Metaphor
"Life is a rollercoaster, full of ups and downs that we must ride through.",Metaphor,Metaphor
"The world is a stage, and we are all mere players.",Metaphor,Metaphor
Her laughter was a symphony of joy.,Metaphor,Metaphor
"The children were wild animals, running and playing in the park.",Metaphor,Metaphor
"The politician's words were daggers, aimed at his opponent's character.",Metaphor,Metaphor
The stormy relationship finally reached its boiling point.,Metaphor,Metaphor
"Her heart was a fragile glass, easily broken.",Metaphor,Metaphor
